title,overview,vote_count,original_language,release_date,popularity,vote_average
There Will Be Blood,"Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives.",4989,en,2007-12-26,There Will Be Blood,8.1
Nine 1/2 Weeks,"An erotic story about a woman, the assistant of an art gallery, who gets involved in an impersonal affair with a man. She barely knows about his life, only about the sex games they play, so the relationship begins to get complicated.",717,en,1986-02-09,Nine 1/2 Weeks,6.1
Ambulance,"Decorated veteran Will Sharp, desperate for money to cover his wife's medical bills, asks for help from his adoptive brother Danny. A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million.",0,en,2022-03-16,Ambulance,0.0
Kites,"A wounded man searches for his sweetheart in the Mexican desert while on the run from the police, bounty hunters, and others.",156,hi,2010-05-21,Kites,7.1
We Need to Talk About Kevin,"After her son Kevin commits a horrific act, troubled mother Eva reflects on her complicated relationship with her disturbed son as he grew from a toddler into a teenager.",2174,en,2011-09-28,We Need to Talk About Kevin,7.6
Elektra,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",1909,en,2005-01-13,Elektra,5.0
Dawn of the Dead,"During an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia SWAT team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall.",1568,en,1978-09-02,Dawn of the Dead,7.5
Greenberg,"A New Yorker moves to Los Angeles in order to figure out his life while he housesits for his brother, and he soon sparks with his brother's assistant.",429,en,2010-03-26,Greenberg,5.8
Breathe,"Based on the true story of Robin, a handsome, brilliant and adventurous man whose life takes a dramatic turn when polio leaves him paralyzed.",604,en,2017-10-13,Breathe,7.4
Inside Man: Most Wanted,An NYPD hostage negotiator teams up with a federal agent to rescue dozens of tourists held hostage during a 10-hour seige at the U.S. Federal Reserve.,216,en,2019-09-24,Inside Man: Most Wanted,6.7
Sahara,A young cobra and his scorpion best friend go on a journey across the Sahara desert to save a new-found love.,233,fr,2017-02-01,Sahara,5.9
The Danish Girl,"When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerda's love and support, Lili embarks on a groundbreaking journey as a transgender pioneer.",5105,en,2015-01-01,The Danish Girl,7.6
The Limehouse Golem,A series of murders has shaken the community to the point where people believe that only a legendary creature from dark times – the mythical Golem – must be responsible.,502,en,2016-10-18,The Limehouse Golem,6.1
Grace Unplugged,"A talented young singer and aspiring songwriter’s Christian faith and family ties are tested when she defies her worship-pastor father and pursues pop-music stardom in GRACE UNPLUGGED, a moving and inspiring new film that explores the true meaning of success.",51,en,2013-10-04,Grace Unplugged,6.2
Y Tu Mamá También,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",1103,es,2001-06-08,Y Tu Mamá También,7.4
Horns,"In the aftermath of his girlfriend's mysterious death, a young man awakens to strange horns sprouting from his temples.",1939,en,2013-09-06,Horns,6.3
Shoot 'Em Up,"A man named Mr. Smith delivers a woman's baby during a shootout, and is then called upon to protect the newborn from the army of gunmen.",1452,en,2007-07-26,Shoot 'Em Up,6.5
RoboCop 2,"After a successful deployment of the Robocop Law Enforcement unit, OCP sees its goal of urban pacification come closer and closer, but as this develops, a new narcotic known as ""Nuke"" invades the streets led by God-delirious leader Cane. As this menace grows, it may prove to be too much for Murphy to handle. OCP tries to replicate the success of the first unit, but ends up with failed prototypes with suicidal issues... until Dr. Faxx, a scientist straying away from OCP's path, uses Cane as the new subject for the Robocop 2 project, a living God.",1372,en,1990-06-22,RoboCop 2,5.9
As Good as It Gets,"New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.",2940,en,1997-12-19,As Good as It Gets,7.4
A Real Young Girl,"Bored and restless, Alice spends much of her time lusting after Jim, a local sawmill worker. When not lusting after him, Alice fills the hours with such pursuits as writing her name on a mirror with vaginal secretions and wandering the fields with her underwear around her ankles. And, in true teenaged tradition, she spends a lot of time writing in her diary.",82,fr,1976-01-01,A Real Young Girl,5.3
Grave Encounters 2,"Tortured by the ghosts of the demonized insane asylum that killed the crew of GRAVE ENCOUNTERS, film students fight to escape death as their own paranormal investigation goes terribly wrong in this horrifying sequel.",700,en,2012-10-12,Grave Encounters 2,5.5
Surf's Up,"Cody is a surfing penguin from Shiverpool who dreams of making it big and being like his idol Big Z. On his journey, he discovers his talents are not all he thinks they are, and he must learn to accept that there is more to surfing than fame and fortune.",1932,en,2007-06-08,Surf's Up,6.3
They Call Me Jeeg,"After accidentally coming into contact with radioactive waste, small-time crook Enzo Ceccotti gains superpowers. A misanthropic, introverted brute, he uses his new powers for personal gain until he meets Alessia, a mentally challenged girl who believes Enzo’s the hero from her favorite Japanese anime series, Steel Jeeg.",2227,it,2016-02-25,They Call Me Jeeg,7.5
Open Water 2: Adrift,"A weekend cruise on a luxurious party yacht goes horribly wrong for a group of old high-school friends. They forget to let the ladder down before they jump into the ocean for a swim. The boat proves impossible to climb. They are stuck in the water many miles from shore, with baby Sara left alone on board. Sara's mother Amy must contend with her aqua-phobia as well as the group's increasing desperation, as the friends begin to turn on each other. Soon the exhaustion of keeping afloat and the struggle to get back on board begin to take a terrible toll. The happy reunion turns into a fight for survival...",546,en,2006-07-10,Open Water 2: Adrift,5.5
Ip Man: Kung Fu Master,Ip Man’s promising career as a Policeman is ruined after he is framed for murder and targeted by a mob boss’s daughter.,96,zh,2019-12-23,Ip Man: Kung Fu Master,7.0
Novitiate,"In the early 1960s, during the Vatican II era, a young woman training to become a nun struggles with issues of faith, sexuality and the changing church.",126,en,2017-10-27,Novitiate,6.4
Teen Beach Movie,"Life's a beach for surfers Brady and McKenzie – until a rogue wave magically transports them inside the classic '60s beach party flick, ""Wet Side Story,"" where a full-blown rivalry between bikers and surfers threatens to erupt. There, amidst a sea of surfing, singing and dancing, Brady and Mack accidentally change the storyline, and the film’s dreamy hero and heroine fall for them instead of for each other! Can our heroes get the plot back on track, or will they be trapped there forever?",755,en,2013-08-07,Teen Beach Movie,6.9
47 Ronin,"Kai—an outcast—joins Oishi, the leader of 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honour to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",3100,en,2013-12-06,47 Ronin,6.1
Changeling,"Christine Collins is overjoyed when her kidnapped son is brought back home. But when Christine suspects that the boy returned to her isn't her child, the police captain has her committed to an asylum.",3360,en,2008-01-30,Changeling,7.6
Tarzan,"One of the most classic and revered stories of all time, Edgar Rice Burroughs' Tarzan returns to the big screen for a new generation. Tarzan and Jane face a mercenary army dispatched by the evil CEO of Greystoke Energies, a man who took over the company from Tarzan's parents, after they died in a plane crash in the African jungle.",496,en,2013-10-17,Tarzan,5.7
Pooh's Heffalump Movie,"Who or what exactly is a Heffalump? The lovable residents of the Hundred Acre Wood -- Winnie the Pooh, Rabbit, Tigger, Eeyore, Kanga and the rest of the pack -- embark on a journey of discovery in search of the elusive Heffalump. But as is always the case, this unusual road trip opens their eyes to so much more than just the creature they're seeking.",346,en,2005-02-11,Pooh's Heffalump Movie,6.8
Lemony Snicket's A Series of Unfortunate Events,"Three wealthy children's parents are killed in a fire. When they are sent to a distant relative, they find out that he is plotting to kill them and seize their fortune.",4261,en,2004-12-16,Lemony Snicket's A Series of Unfortunate Events,6.8
Vampire Academy,"Rose, a rebellious half-vampire/half-human guardian-in-training and her best friend, Lissa -- a mortal, royal vampire Princess - have been on the run when they are captured and returned to St. Vladamirs Academy, the very place where they believe their lives may be in most jeopardy. Rose will sacrifice everything to protect Lissa from those who intend to exploit her from within the Academy walls and the Strigoi (immortal, evil vampires) who hunt her kind from outside its sanctuary.",1531,en,2014-02-07,Vampire Academy,6.3
Let Me In,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.  A remake of the movie “Let The Right One In” which was an adaptation of a book.,1626,en,2010-10-01,Let Me In,6.8
Meet the Fockers,"Hard-to-crack ex-CIA man Jack Byrnes and his wife Dina head for the warmer climes of Florida to meet the parents of their son-in-law-to-be, Greg Focker. Unlike their happily matched offspring, the future in-laws find themselves in a situation of opposites that definitely do not attract.",3906,en,2004-12-22,Meet the Fockers,6.2
Found,Follows the story of three American teenage girls—each adopted from China—who discover they are blood-related cousins on 23andMe. Their online meeting inspires the young women to confront the burning questions they have about their lost history.,25,en,2021-10-13,Found,7.6
Bridget Jones's Diary,"A chaotic Bridget Jones meets a snobbish lawyer, and he soon enters her world of imperfections.",4144,en,2001-04-13,Bridget Jones's Diary,6.8
Close Encounters of the Third Kind,"After an encounter with UFOs, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.",3260,en,1977-11-18,Close Encounters of the Third Kind,7.4
The Basketball Diaries,A high school basketball player’s life turns upside down after free-falling into the harrowing world of drug addiction.,1487,en,1995-04-21,The Basketball Diaries,7.4
Taxi,"In Marseilles (France), skilled pizza delivery boy Daniel who drives a scooter finally has his dreams come true. He gets a taxi license. Caught by the police for a huge speed infraction, he will help Emilien, a loser inspector who can't drive, on the track of German bank robbers, so he doesn't lose his license and his dream job.",1885,fr,1998-04-08,Taxi,6.6
A Simple Favor,"Stephanie, a dedicated mother and popular vlogger, befriends Emily, a mysterious upper-class woman whose son Nicky attends the same school as Miles, Stephanie's son. When Emily asks her to pick Nicky up from school and then disappears, Stephanie undertakes an investigation that will dive deep into Emily's cloudy past.",3423,en,2018-08-29,A Simple Favor,6.6
End of Days,"On 28 December 1999, the citizens of New York City are getting ready for the turn of the millennium. However, Satan decides to crash the party by coming to the city, inhabiting a man's body, and searching for his chosen bride—a 20-year-old woman named Christine York. The world will end, and the only hope lies within an atheist named Jericho Cane.",1399,en,1999-11-24,End of Days,6.0
Magic Mike XXL,"Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.",1513,en,2015-07-01,Magic Mike XXL,6.2
Hellraiser: Hellworld,Pinhead returns to terrorize computer hackers who have opened a virtual Lament Configuration on the website Hellworld.com.,211,en,2005-09-06,Hellraiser: Hellworld,4.8
Cashback,"After a painful breakup, Ben develops insomnia. To kill time, he starts working the late night shift at the local supermarket, where his artistic imagination runs wild.",921,en,2006-05-09,Cashback,7.0
Signs,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,4425,en,2002-08-02,Signs,6.6
The Kid Who Would Be King,"Old-school magic meets the modern world when young Alex stumbles upon the mythical sword Excalibur. He soon unites his friends and enemies, and they become knights who join forces with the legendary wizard Merlin. Together, they must save mankind from the wicked enchantress Morgana and her army of supernatural warriors.",567,en,2019-01-16,The Kid Who Would Be King,6.1
Deliver Us from Evil,"When a frightening wave of violence sweeps through New York City, troubled cop Sarchie fails to find a rational explanation for the bizarre crimes. However, his eyes are opened to a frightening alternate reality when renegade Jesuit priest Mendoza convinces him that demonic possession may be to blame for the gruesome murders. Together, they wage a valiant supernatural struggle to rid the city of an otherworldly evil.",1656,en,2014-07-01,Deliver Us from Evil,6.2
La Luna,"While touring in Italy, a recently-widowed American opera singer has an incestuous relationship with her 15-year-old son to help him overcome his heroin addiction.",63,it,1979-08-29,La Luna,6.6
Tokyo Revengers,An unemployed man learns that his ex-girlfriend was murdered. He suddenly finds himself travelling through time to his middle school years and has chance to change the future and save the girl. He aims to rise to the top of the most brutal delinquent gang.,123,ja,2021-07-09,Tokyo Revengers,8.1
Love Me Instead,"One day, Sedat, who works as a prison guard in Konya, is given the duty to take one of the prisoners, Musa, to his hometown. Musa does not intend to return until he finds out why his daughter was killed.",37,tr,2021-11-19,Love Me Instead,6.7
Hide and Seek,"David Callaway tries to piece together his life in the wake of his wife's suicide and has been left to raise his nine-year-old daughter, Emily on his own. David is at first amused to discover that Emily has created an imaginary friend named 'Charlie', but it isn't long before 'Charlie' develops a sinister and violent side, and as David struggles with his daughter's growing emotional problems, he comes to the frightening realisation that 'Charlie' isn't just a figment of Emily's imagination.",1271,en,2005-01-27,Hide and Seek,6.4
Les Misérables,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.",4531,en,2012-12-18,Les Misérables,7.3
She's Out of My League,"When he starts dating drop-dead gorgeous Molly, insecure airport security agent Kirk can't believe it. As his friends and family share their doubts about the relationship lasting, Kirk does everything he can to avoid losing Molly forever.",1633,en,2010-03-11,She's Out of My League,6.3
Adrift,"A true story of survival, as a young couple's chance encounter leads them first to love, and then on the adventure of a lifetime as they face one of the most catastrophic hurricanes in recorded history.",2214,en,2018-05-31,Adrift,6.9
Zombie Strippers!,"In the not too distant future a secret government re-animation chemo-virus gets released into conservative Sartre, Nebraska and lands in an underground strip club. As the virus begins to spread, turning the strippers into ""Super Zombie Strippers"" the girls struggle with whether or not to conform to the new ""fad"" even if it means there's no turning back.",288,en,2008-04-18,Zombie Strippers!,4.8
48 Hrs.,"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",1091,en,1982-12-07,48 Hrs.,6.6
After Sex,"Sex is a background to examine intimacy and vulnerability. Looks at the complexity of modern day relationships told through eight separate couples. Through dialogue and compromising situations, the film takes us from the beginning of a relationship to the aftermath of one, and examines every stage in between seeing humor within the drama, heartache and confusion of it all.",173,en,2007-09-26,After Sex,5.4
She's All That,"High school hotshot Zach Siler is the envy of his peers. But his popularity declines sharply when his cheerleader girlfriend, Taylor, leaves him for sleazy reality-television star Brock Hudson. Desperate to revive his fading reputation, Siler agrees to a seemingly impossible challenge. He has six weeks to gain the trust of nerdy outcast Laney Boggs -- and help her to become the school's next prom queen.",1637,en,1999-01-29,She's All That,6.3
The Lodge,"When a father is forced to abruptly depart for work, he leaves his children, Aidan and Mia, at their holiday home in the care of his new girlfriend, Grace. Isolated and alone, a blizzard traps them inside the lodge as terrifying events summon specters from Grace's dark past.",826,en,2020-01-16,The Lodge,6.1
Spenser Confidential,"Spenser, a former Boston patrolman who just got out from prison, teams up with Hawk, an aspiring fighter, to unravel the truth behind the death of two police officers.",1791,en,2020-03-06,Spenser Confidential,6.5
Breakfast at Tiffany's,"Holly Golightly is an eccentric New York City playgirl determined to marry a Brazilian millionaire. But when young writer Paul Varjak moves into her apartment building, her past threatens to get in their way.",3445,en,1961-10-06,Breakfast at Tiffany's,7.7
Last Looks,"A disgraced ex-cop seeks solace by moving to the woods, but his quiet life comes to an end when a private eye recruits him to investigate the murder of an eccentric TV star's wife.",97,en,2021-12-02,Last Looks,6.2
A Perfect Getaway,"For their honeymoon, newlyweds Cliff and Cydney head to the tropical islands of Hawaii. While journeying through the paradisaical countryside the couple encounters Kale and Cleo, two disgruntled hitchhikers and Nick and Gina, two wild but well-meaning spirits who help guide them through the lush jungles. The picturesque waterfalls and scenic mountainsides quickly give way to terror when Cliff and Cydney learn of a grisly murder that occurred nearby and realize that they're being followed by chance acquaintances that suspiciously fit the description of the killers.",973,en,2009-06-08,A Perfect Getaway,6.3
Point Break,"In Los Angeles, a gang of bank robbers who call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. Believing that the members of the gang could be surfers, the F.B.I. sends young agent Johnny Utah to the beach undercover to mix with the surfers and gather information.",2691,en,1991-01-31,Point Break,7.1
Harry & Meghan: A Royal Romance,"Examine the history of Prince Harry and Meghan Markle from the moment they met after being set up by friends, through their initial courtship when they were able to keep their romance under wraps, and ultimately the intense global media attention surrounding their relationship and Meghan’s life as a divorced American actress.",169,en,2018-05-13,Harry & Meghan: A Royal Romance,6.9
Third Person,"An acclaimed novelist struggles to write an analysis of love in one of three stories, each set in a different city, that detail the beginning, middle and end of a relationship.",499,en,2013-09-09,Third Person,5.9
Primal Fear,"An arrogant, high-powered attorney takes on the case of a poor altar boy found running away from the scene of the grisly murder of the bishop who has taken him in. The case gets a lot more complex when the accused reveals that there may or may not have been a third person in the room. The intensity builds when a surprise twist alters everyone's perception of the crime.",2420,en,1996-03-06,Primal Fear,7.7
Under Siege,"Disgruntled ex-CIA operative Strannix, his assistant Krill and their group of terrorists seize the battleship with nuclear blackmail in mind. They've planned for every contingency but ignore the ship's cook, former Navy SEAL Casey Ryback -- an error that could be fatal.",1143,en,1992-10-08,Under Siege,6.2
Bad Sister,"As a top student at St. Adeline's Catholic Boarding School, Zoe senses that something is not quite right about the school's new nun-- a sense proven to be true when it is revealed the ""good' nun is an imposter with a fatal attraction to Zoe's brother.",178,en,2016-01-03,Bad Sister,6.8
Austin Powers in Goldmember,"The world's most shagadelic spy continues his fight against Dr. Evil. This time, the diabolical doctor and his clone, Mini-Me, team up with a new foe—'70s kingpin Goldmember. While pursuing the team of villains to stop them from world domination, Austin gets help from his dad and an old girlfriend.",2499,en,2002-07-26,Austin Powers in Goldmember,6.0
American Traitor: The Trial of Axis Sally,"The life of American woman Mildred Gillars and her lawyer, who struggles to redeem her reputation. Dubbed “Axis Sally” for broadcasting Nazi propaganda to American troops during World War II, Mildred’s story exposes the dark underbelly of the Third Reich's hate-filled propaganda machine, her eventual capture in Berlin, and subsequent trial for treason against the United States after the war.",32,en,2021-05-28,American Traitor: The Trial of Axis Sally,5.8
Raging Bull,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",3266,en,1980-11-14,Raging Bull,8.0
Journey to the West: Conquering the Demons,"In a world plagued by demons who cause great human suffering, young demon hunter Xuan Zang risks his all to conquer a water demon, a pig demon and the demon of all demons, Sun Wukong.",248,zh,2013-02-01,Journey to the West: Conquering the Demons,7.0
The Shoga (Glass and Gas) Company,"""I have not been very active as a social filmmaker anymore after the revolution, though I had great plans and projects at the start of the revolution! So far I have made many so-called commissioned industrial films for national oil, gas, and steel companies as well as for government ministries, in which I tried to bring the films as close as possible to my taste and to my way of thinking and make the films' sponsors to see the world from content and formal viewpoints. Some of these films encountered serious censorship problems and part of them were cut for their public screenings, such as Gas, Fire, Wind and The Genaveh Project, both of which were filmed during the Iran-Iraq war.""  - Kamran Shirdel",1,fa,1990-09-07,The Shoga (Glass and Gas) Company,2.0
Adventures of Dally and Spanky,"A girl inherits a miniature horse that develops an unlikely friendship with her half-sister's Jack Russell Terrier, who takes to riding on the horse's back.",42,en,2019-07-02,Adventures of Dally and Spanky,7.4
Cool Runnings,"When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.",1561,en,1993-10-01,Cool Runnings,7.0
The Way of the Dragon,"Tang Lung arrives in Rome to help his cousins in the restaurant business. They are being pressured to sell their property to the syndicate, who will stop at nothing to get what they want. When Tang arrives he poses a new threat to the syndicate, and they are unable to defeat him. The syndicate boss hires the best Japanese and European martial artists to fight Tang, but he easily finishes them off.",819,cn,1972-06-01,The Way of the Dragon,7.4
Don't Knock Twice,A mother desperate to reconnect with her troubled daughter becomes embroiled in the urban legend of a demonic witch.,605,en,2017-02-03,Don't Knock Twice,5.5
Big Daddy,"A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.",2612,en,1999-06-25,Big Daddy,6.4
Dante's Peak,"Volcanologist Harry Dalton comes to the sleepy town of Dante's Peak to investigate the recent rumblings of the dormant volcano the burg is named for. Before long, his worst fears are realized when a massive eruption hits, and immediately, Harry, the mayor and the townspeople find themselves fighting for their lives amid a catastrophic nightmare.",1407,en,1997-02-07,Dante's Peak,6.1
Fast & Furious,"When a crime brings them back to L.A., fugitive ex-con Dom Toretto reignites his feud with agent Brian O'Conner. But as they are forced to confront a shared enemy, Dom and Brian must give in to an uncertain new trust if they hope to outmaneuver him. And the two men will find the best way to get revenge: push the limits of what's possible behind the wheel.",5838,en,2009-04-02,Fast & Furious,6.7
The Hyperions,"In 1960, Professor Ruckus Mandulbaum invented the Titan badge - a device that enables humans to have a particular super power. He took in three down-on-their-luck youths, creating an unusual family of superheroes and they quickly rose to fame and prestige. Over time, however, the commercial family fractured and the Professor replaced the team with a new set of super hero teens. Cut to 1979, when two of the original superheroes are all grown up and wanting their Titan badges back, even if it means robbing the Professor's museum and taking a few hostages accidentally.",0,en,2022-02-28,The Hyperions,0.0
The Little Vampire,"Based on the popular books, the story tells of Tony who wants a friend to add some adventure to his life. What he gets is Rudolph, a vampire kid with a good appetite. The two end up inseparable, but their fun is cut short when all the hopes of the vampire race could be gone forever in single night. With Tony's access to the daytime world, he helps them to find what they've always wanted.",321,en,2000-10-27,The Little Vampire,6.8
The Breakfast Club,"Five high school students from different walks of life endure a Saturday detention under a power-hungry principal. The disparate group includes rebel John, princess Claire, outcast Allison, brainy Brian and Andrew, the jock. Each has a chance to tell his or her story, making the others see them a little differently -- and when the day ends, they question whether school will ever be the same.",6658,en,1985-02-15,The Breakfast Club,7.8
The Haunting in Connecticut 2: Ghosts of Georgia,"A young family moves into a historic home in Georgia, only to learn they are not the house's only inhabitants. Soon they find themselves in the presence of a secret rising from underground and threatening to bring down anyone in its path.",407,en,2013-02-01,The Haunting in Connecticut 2: Ghosts of Georgia,5.8
The Monkey King 3,"The third installment of the blockbuster fantasy series sees the return of the Monkey King (Aaron Kwok) in his most action-packed adventure yet! While continuing their epic journey to the West, the Monkey King and his companions are taken captive by the Queen of an all-female land, who believes them to be part of an ancient prophecy heralding the fall of her kingdom. With a lot of sorcery and a little bit of charm, the travelers devise a plan to escape. But when their trickery angers the mighty River God, they realize they might just bring about the foretold destruction - unless they can find a way to quell her wrath.",32,zh,2018-02-16,The Monkey King 3,5.4
The Humanity Bureau,In 2030 the world is in a permanent state of economic recession and facing serious environmental problems as a result of global warming.,273,en,2017-07-11,The Humanity Bureau,4.8
Venom,"A group of teenagers fear for their lives in the swamps of Louisiana, chased by Mr. Jangles, a man possessed by 13 evil souls, and now relentless in his pursuit of new victims.",241,en,2005-09-16,Venom,5.5
The Christmas Chronicles,"Siblings Kate and Teddy try to prove Santa Claus is real, but when they accidentally cause his sleigh to crash, they have to save Christmas.",1640,en,2018-11-22,The Christmas Chronicles,7.1
Devil's Due,An unexpected pregnancy takes a terrifying turn for newlyweds Zach and Samantha McCall.,418,en,2014-01-08,Devil's Due,4.6
The Willoughbys,"When the four Willoughby children are abandoned by their selfish parents, they must learn how to adapt their Old-Fashioned values to the contemporary world in order to create something new: The Modern Family.",736,en,2020-04-22,The Willoughbys,7.2
Los 7 pecados capitales,Mexican feature film,8,en,1975-01-01,Los 7 pecados capitales,6.3
The Crucifixion,"When a priest is jailed for the murder of a nun on whom he was performing an exorcism, an investigative journalist strives to determine whether he in fact murdered a mentally ill person, or if he lost the battle with a demonic presence.",381,en,2017-04-27,The Crucifixion,5.6
Manchester by the Sea,"After his older brother passes away, Lee Chandler is forced to return home to care for his 16-year-old nephew. There he is compelled to deal with a tragic past that separated him from his family and the community where he was born and raised.",4766,en,2016-11-18,Manchester by the Sea,7.5
Dr. Dolittle 2,"A group of beavers ask Dr. Dolittle to save their habitat from loggers. The only hope is to get the forest preserved because it's the home of a protected bear, but there's a problem: the bear's the only bear in the forest, so she can't reproduce. Undaunted, Dolittle persuades a circus bear to help out, but he has to teach him not just the ways of the wild, but the wiles of lady bears too.",1352,en,2001-06-22,Dr. Dolittle 2,5.3
Last Vegas,Three sixty-something friends take a break from their day-to-day lives to throw a bachelor party in Las Vegas for their last remaining single pal.,1806,en,2013-10-31,Last Vegas,6.4
The Magnificent Seven,An oppressed Mexican peasant village hires seven gunfighters to help defend their homes.,1350,en,1960-04-14,The Magnificent Seven,7.6
T2 Trainspotting,"After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud and Begbie.",2607,en,2017-01-27,T2 Trainspotting,6.9
Non Non Biyori: Vacation,"The movie for Non Non Biyori series. Summer vacation is drawing to an end. When Suguru wins a free trip to Okinawa, all of the five students of Asahigaoka branch school are excited to end their vacation with a bang. Along with Hikage, Konomi, and their teacher and the candy store owner, everyone goes to Okinawa for a fun three-day trip. There, Natsumi makes friends with Aoi, the girl who helps out at the hotel they stay in.",14,ja,2018-08-25,Non Non Biyori: Vacation,6.9
Inherent Vice,"In Los Angeles at the turn of the 1970s, drug-fueled detective Larry ""Doc"" Sportello investigates the disappearance of an ex-girlfriend.",2040,en,2014-12-12,Inherent Vice,6.6
Batman Ninja,"Batman, along with many of his allies and adversaries, finds himself transported to feudal Japan by Gorilla Grodd's time displacement machine.",746,ja,2018-03-24,Batman Ninja,5.8
Blair Witch,Students on a camping trip discover something sinister is lurking beyond the trees.,1579,en,2016-09-15,Blair Witch,5.2
Catch.44,"The lives of three female assassins take a sudden turn when their charming boss lures them into one last job. They soon find themselves thrust into a bizarre situation involving a psychotic hit man, a grizzled trucker and a delusional line cook.",272,en,2011-12-08,Catch.44,5.1
Five Nights at Freddy's,"Based on the popular horror video game, a man starts a job working as a night watch security guard at the restaurant Freddy Fazbear's Pizza, where he discovers the animatronics move at night and will kill anyone they see.",0,en,,Five Nights at Freddy's,0.0
A Dark Truth,"In the jungles of Ecuador, blood taints the waters. A multinational conglomerate's unholy alliance with a bloodthirsty military regime has resulted in a massacre. Only the rebel Francisco Franco and his determined wife Mia can prove the truth. To settle a personal debt, former CIA agent Jack Begosian takes on the freelance assignment to rescue Francisco and risks everything in a brutal battle to expose the cover-up.",85,en,2012-11-29,A Dark Truth,5.6
Wheels on Meals,"Cousins Thomas and David, owners of a mobile restaurant, team up with their friend Moby, a bumbling private detective, to save the beautiful Sylvia, a pickpocket.",257,cn,1984-08-17,Wheels on Meals,7.0
Magical Girl Lyrical Nanoha: Reflection,"The planet Eltria, having suffered severe desertification in the past, has all but been abandoned. Against her older sister's wishes, Kyrie Florian travels to Earth alongside her best friend, the AI Iris, in search of the key to their planet's regeneration. However, the only way to find it lies within the Tome of the Night Sky, leading them into conflict with Nanoha and her friends.",4,ja,2017-07-22,Magical Girl Lyrical Nanoha: Reflection,7.4
Twister,"An unprecedented series of violent tornadoes is sweeping across Oklahoma. Tornado chasers, headed by Dr. Jo Harding, attempt to release a groundbreaking device that will allow them to track them and create a more advanced warning system. They are joined by Jo's soon to be ex-husband Bill, a former tornado chaser himself, and his girlfriend Melissa.",2477,en,1996-05-10,Twister,6.4
You're Next,"When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of their victims harbors a secret talent for fighting back.",1901,en,2011-09-10,You're Next,6.6
Second Act,"Maya, a 40-year-old woman struggling with frustrations from unfulfilled dreams. Until that is, she gets the chance to prove to Madison Avenue that street smarts are as valuable as book smarts, and that it is never too late for a second act.",994,en,2018-11-22,Second Act,6.4
Instructions Not Included,"Valentin is Acapulco's resident playboy, until a former fling leaves a baby on his doorstep and him heading with her out of Mexico.",696,es,2013-07-20,Instructions Not Included,7.7
Robin Hood: Prince of Thieves,"When the dastardly Sheriff of Nottingham murders Robin's father, the legendary archer vows vengeance. To accomplish his mission, Robin joins forces with a band of exiled villagers (and comely Maid Marian), and together they battle to end the evil sheriff's reign of terror.",2552,en,1991-06-14,Robin Hood: Prince of Thieves,6.8
Trainspotting,"Heroin addict Mark Renton stumbles through bad ideas and sobriety attempts with his unreliable friends -- Sick Boy, Begbie, Spud and Tommy. He also has an underage girlfriend, Diane, along for the ride. After cleaning up and moving from Edinburgh to London, Mark finds he can't escape the life he left behind when Begbie shows up at his front door on the lam, and a scheming Sick Boy follows.",8008,en,1996-02-23,Trainspotting,8.0
